 timestamp, nuclear, wind
01:30,4665,10861
06:13,4666,10810
11:26,4663,10773
 15:43,4661,10724
20:56,4673,10676
 26:01,4670,10639
 30:49,4660,10584
 35:43,4668,10505
 40:44,4666,10427
 46:03,4672,10360
 50:47,4673,10265
 55:38,4671,10172
